Level,Distance,DurationWeeks,SessionsPerWeek,PeakKm,BaseWeeks,BuildWeeks,PeakWeeks,TaperWeeks,CutbackRule
NOVICE,5K,8,2,11.1,4,2,1,1,every 3 @ 25%
NOVICE,5K,8,3,15,4,2,1,1,every 3 @ 25%
NOVICE,5K,8,4,18,4,2,1,1,every 3 @ 25%
NOVICE,5K,8,5,18,4,2,1,1,every 3 @ 25%
NOVICE,5K,8,6,18,4,2,1,1,every 3 @ 25%
NOVICE,5K,12,2,11.1,7,3,1,1,every 3 @ 25%
NOVICE,5K,12,3,15,7,3,1,1,every 3 @ 25%
NOVICE,5K,12,4,18,7,3,1,1,every 3 @ 25%
NOVICE,5K,12,5,18,7,3,1,1,every 3 @ 25%
NOVICE,5K,12,6,18,7,3,1,1,every 3 @ 25%
NOVICE,5K,16,2,11.1,10,4,1,1,every 3 @ 25%
NOVICE,5K,16,3,15,10,4,1,1,every 3 @ 25%
NOVICE,5K,16,4,18,10,4,1,1,every 3 @ 25%
NOVICE,5K,16,5,18,10,4,1,1,every 3 @ 25%
NOVICE,5K,16,6,18,10,4,1,1,every 3 @ 25%
NOVICE,5K,20,2,11.1,14,4,1,1,every 3 @ 25%
NOVICE,5K,20,3,15,14,4,1,1,every 3 @ 25%
NOVICE,5K,20,4,18,14,4,1,1,every 3 @ 25%
NOVICE,5K,20,5,18,14,4,1,1,every 3 @ 25%
NOVICE,5K,20,6,18,14,4,1,1,every 3 @ 25%
NOVICE,10K,8,2,14.8,4,2,1,1,every 3 @ 25%
NOVICE,10K,8,3,20,4,2,1,1,every 3 @ 25%
NOVICE,10K,8,4,24,4,2,1,1,every 3 @ 25%
NOVICE,10K,8,5,24,4,2,1,1,every 3 @ 25%
NOVICE,10K,8,6,24,4,2,1,1,every 3 @ 25%
NOVICE,10K,12,2,14.8,7,3,1,1,every 3 @ 25%
NOVICE,10K,12,3,20,7,3,1,1,every 3 @ 25%
NOVICE,10K,12,4,24,7,3,1,1,every 3 @ 25%
NOVICE,10K,12,5,24,7,3,1,1,every 3 @ 25%
NOVICE,10K,12,6,24,7,3,1,1,every 3 @ 25%
NOVICE,10K,16,2,14.8,10,4,1,1,every 3 @ 25%
NOVICE,10K,16,3,20,10,4,1,1,every 3 @ 25%
NOVICE,10K,16,4,24,10,4,1,1,every 3 @ 25%
NOVICE,10K,16,5,24,10,4,1,1,every 3 @ 25%
NOVICE,10K,16,6,24,10,4,1,1,every 3 @ 25%
NOVICE,10K,20,2,14.8,14,4,1,1,every 3 @ 25%
NOVICE,10K,20,3,20,14,4,1,1,every 3 @ 25%
NOVICE,10K,20,4,24,14,4,1,1,every 3 @ 25%
NOVICE,10K,20,5,24,14,4,1,1,every 3 @ 25%
NOVICE,10K,20,6,24,14,4,1,1,every 3 @ 25%
NOVICE,HalfMarathon,8,2,25.9,4,1,1,2,every 3 @ 25%
NOVICE,HalfMarathon,8,3,35,4,1,1,2,every 3 @ 25%
NOVICE,HalfMarathon,8,4,42,4,1,1,2,every 3 @ 25%
NOVICE,HalfMarathon,8,5,42,4,1,1,2,every 3 @ 25%
NOVICE,HalfMarathon,8,6,42,4,1,1,2,every 3 @ 25%
NOVICE,HalfMarathon,12,2,25.9,6,3,1,2,every 3 @ 25%
NOVICE,HalfMarathon,12,3,35,6,3,1,2,every 3 @ 25%
NOVICE,HalfMarathon,12,4,42,6,3,1,2,every 3 @ 25%
NOVICE,HalfMarathon,12,5,42,6,3,1,2,every 3 @ 25%
NOVICE,HalfMarathon,12,6,42,6,3,1,2,every 3 @ 25%
NOVICE,HalfMarathon,16,2,25.9,9,4,1,2,every 3 @ 25%
NOVICE,HalfMarathon,16,3,35,9,4,1,2,every 3 @ 25%
NOVICE,HalfMarathon,16,4,42,9,4,1,2,every 3 @ 25%
NOVICE,HalfMarathon,16,5,42,9,4,1,2,every 3 @ 25%
NOVICE,HalfMarathon,16,6,42,9,4,1,2,every 3 @ 25%
NOVICE,HalfMarathon,20,2,25.9,12,5,1,2,every 3 @ 25%
NOVICE,HalfMarathon,20,3,35,12,5,1,2,every 3 @ 25%
NOVICE,HalfMarathon,20,4,42,12,5,1,2,every 3 @ 25%
NOVICE,HalfMarathon,20,5,42,12,5,1,2,every 3 @ 25%
NOVICE,HalfMarathon,20,6,42,12,5,1,2,every 3 @ 25%
NOVICE,Marathon,8,2,33.3,4,1,1,2,every 3 @ 25%
NOVICE,Marathon,8,3,45,4,1,1,2,every 3 @ 25%
